"ccaa_num","sexo","anyo","poblacion","idjoin","CCAA","Sexo","Periodo","casos","ccaa_num.y","tasa"
2,"Ambos sexos",2017,281622,"22017","02 Aragón","Total",2017,524,2,186.065009125708
2,"Ambos sexos",2018,284350,"22018","02 Aragón","Hombres",2018,173,2,60.840513451732
2,"Ambos sexos",2018,284350,"22018","02 Aragón","Mujeres",2018,376,2,132.231404958678
2,"Ambos sexos",2018,284350,"22018","02 Aragón","Total",2018,549,2,193.07191841041
2,"Ambos sexos",2019,287256,"22019","02 Aragón","Hombres",2019,158,2,55.003202718133
2,"Ambos sexos",2019,287256,"22019","02 Aragón","Mujeres",2019,347,2,120.798173058178
2,"Ambos sexos",2019,287256,"22019","02 Aragón","Total",2019,505,2,175.801375776311
2,"Hombres",2002,112428,"22002","02 Aragón","Hombres",2002,85,2,75.6039420784858
2,"Hombres",2002,112428,"22002","02 Aragón","Mujeres",2002,200,2,177.891628419967
2,"Hombres",2002,112428,"22002","02 Aragón","Total",2002,285,2,253.495570498452
2,"Hombres",2003,112402,"22003","02 Aragón","Hombres",2003,117,2,104.090674543158
2,"Hombres",2003,112402,"22003","02 Aragón","Mujeres",2003,242,2,215.298660166189
2,"Hombres",2003,112402,"22003","02 Aragón","Total",2003,359,2,319.389334709347
2,"Hombres",2004,111496,"22004","02 Aragón","Hombres",2004,101,2,90.5862093707398
2,"Hombres",2004,111496,"22004","02 Aragón","Mujeres",2004,209,2,187.450670876085
2,"Hombres",2004,111496,"22004","02 Aragón","Total",2004,310,2,278.036880246825
2,"Hombres",2005,111203,"22005","02 Aragón","Hombres",2005,97,2,87.2278625576648
2,"Hombres",2005,111203,"22005","02 Aragón","Mujeres",2005,234,2,210.425977716428
2,"Hombres",2005,111203,"22005","02 Aragón","Total",2005,331,2,297.653840274093
2,"Hombres",2006,111979,"22006","02 Aragón","Hombres",2006,132,2,117.879245215621
2,"Hombres",2006,111979,"22006","02 Aragón","Mujeres",2006,225,2,200.930531617535
2,"Hombres",2006,111979,"22006","02 Aragón","Total",2006,357,2,318.809776833156
2,"Hombres",2007,112283,"22007","02 Aragón","Hombres",2007,100,2,89.0606770392668
2,"Hombres",2007,112283,"22007","02 Aragón","Mujeres",2007,260,2,231.557760302094
2,"Hombres",2007,112283,"22007","02 Aragón","Total",2007,360,2,320.618437341361
2,"Hombres",2008,112992,"22008","02 Aragón","Hombres",2008,129,2,114.167374681393
2,"Hombres",2008,112992,"22008","02 Aragón","Mujeres",2008,243,2,215.059473237043
2,"Hombres",2008,112992,"22008","02 Aragón","Total",2008,372,2,329.226847918437
2,"Hombres",2009,113943,"22009","02 Aragón","Hombres",2009,136,2,119.357924576323
2,"Hombres",2009,113943,"22009","02 Aragón","Mujeres",2009,302,2,265.044803103306
2,"Hombres",2009,113943,"22009","02 Aragón","Total",2009,438,2,384.402727679629
2,"Hombres",2010,115262,"22010","02 Aragón","Hombres",2010,110,2,95.4347486595756
2,"Hombres",2010,115262,"22010","02 Aragón","Mujeres",2010,262,2,227.308219534625
2,"Hombres",2010,115262,"22010","02 Aragón","Total",2010,372,2,322.742968194201
2,"Hombres",2011,116471,"22011","02 Aragón","Hombres",2011,127,2,109.040018545389
2,"Hombres",2011,116471,"22011","02 Aragón","Mujeres",2011,294,2,252.42335001846
2,"Hombres",2011,116471,"22011","02 Aragón","Total",2011,421,2,361.463368563849
2,"Hombres",2012,117226,"22012","02 Aragón","Hombres",2012,120,2,102.366369235494
2,"Hombres",2012,117226,"22012","02 Aragón","Mujeres",2012,286,2,243.97318001126
2,"Hombres",2012,117226,"22012","02 Aragón","Total",2012,406,2,346.339549246754
2,"Hombres",2013,118711,"22013","02 Aragón","Hombres",2013,126,2,106.140121808426
2,"Hombres",2013,118711,"22013","02 Aragón","Mujeres",2013,243,2,204.698806344821
2,"Hombres",2013,118711,"22013","02 Aragón","Total",2013,369,2,310.838928153246
2,"Hombres",2014,119988,"22014","02 Aragón","Hombres",2014,141,2,117.511751175118
2,"Hombres",2014,119988,"22014","02 Aragón","Mujeres",2014,330,2,275.027502750275
2,"Hombres",2014,119988,"22014","02 Aragón","Total",2014,471,2,392.539253925393
2,"Hombres",2015,120850,"22015","02 Aragón","Hombres",2015,149,2,123.293338849814
2,"Hombres",2015,120850,"22015","02 Aragón","Mujeres",2015,365,2,302.027306578403
2,"Hombres",2015,120850,"22015","02 Aragón","Total",2015,514,2,425.320645428217
2,"Hombres",2016,121693,"22016","02 Aragón","Hombres",2016,141,2,115.865333256638
2,"Hombres",2016,121693,"22016","02 Aragón","Mujeres",2016,326,2,267.887224408964
2,"Hombres",2016,121693,"22016","02 Aragón","Total",2016,467,2,383.752557665601
2,"Hombres",2017,122617,"22017","02 Aragón","Hombres",2017,167,2,136.196449105752
2,"Hombres",2017,122617,"22017","02 Aragón","Mujeres",2017,357,2,291.150492998524
2,"Hombres",2017,122617,"22017","02 Aragón","Total",2017,524,2,427.346942104276
2,"Hombres",2018,123995,"22018","02 Aragón","Hombres",2018,173,2,139.521754909472
2,"Hombres",2018,123995,"22018","02 Aragón","Mujeres",2018,376,2,303.238033791685
2,"Hombres",2018,123995,"22018","02 Aragón","Total",2018,549,2,442.759788701157
2,"Hombres",2019,125291,"22019","02 Aragón","Hombres",2019,158,2,126.106424244359
2,"Hombres",2019,125291,"22019","02 Aragón","Mujeres",2019,347,2,276.955248182232
2,"Hombres",2019,125291,"22019","02 Aragón","Total",2019,505,2,403.061672426591
2,"Mujeres",2002,146963,"22002","02 Aragón","Hombres",2002,85,2,57.8376870368732
2,"Mujeres",2002,146963,"22002","02 Aragón","Mujeres",2002,200,2,136.088675380878
2,"Mujeres",2002,146963,"22002","02 Aragón","Total",2002,285,2,193.926362417751
2,"Mujeres",2003,147079,"22003","02 Aragón","Hombres",2003,117,2,79.5490858654193
2,"Mujeres",2003,147079,"22003","02 Aragón","Mujeres",2003,242,2,164.537425465226
2,"Mujeres",2003,147079,"22003","02 Aragón","Total",2003,359,2,244.086511330645
2,"Mujeres",2004,146229,"22004","02 Aragón","Hombres",2004,101,2,69.0697467670572
